
DISTANCE,activity_id,HEARTRATE,SPEED,STEPS_PER_MINUTE,LATITUDE,repetitions,temperature,INSTANT_TORQUE_CRANK,timestamp_epoch,ELEVATION,POWER,STRIDES,wheel_torque,CALORIEBURN,LONGITUDE,CADENCE,heading,STEP_RATE
222.50401306152344,32,0,1.0160000324249268,225,0,0,0,0,1364583861126,0,0,225,0,19,0,0,0,0
224.5360107421875,32,0,0,227,0,0,0,0,1364583863122,0,0,227,0,20,0,0,0,0
228.60000610351562,32,0,2.02390456199646,231,0,0,0,0,1364583865118,0,0,231,0,20,0,0,0,0
233.6800079345703,32,0,2.075587511062622,236,0,0,0,0,1364583867116,0,0,236,0,20,0,0,0,0
237.74400329589844,32,0,2.034034013748169,240,0,0,0,0,1364583869113,0,0,240,0,21,0,0,0,0
242.82400512695312,32,0,3.051051139831543,245,0,0,0,0,1364583871110,0,0,245,0,21,0,0,0,0
246.88800048828125,32,0,2.079836368560791,249,0,0,0,0,1364583873104,0,0,249,0,22,0,0,0,0
251.96800231933594,32,0,3.0419163703918457,254,0,0,0,0,1364583875105,0,0,254,0,22,0,0,0,0
256.0320129394531,32,0,2.034034013748169,258,0,0,0,0,1364583877102,0,0,258,0,22,0,0,0,0
261.11199951171875,32,0,3.0541083812713623,263,0,0,0,0,1364583879099,0,0,263,0,23,0,0,0,0
265.1759948730469,32,0,3.0328359603881836,267,0,0,0,0,1364583881102,0,0,267,0,23,0,0,0,0
270.2560119628906,32,0,2.034034013748169,272,0,0,0,0,1364583883094,0,0,272,0,23,0,0,0,0
275.33599853515625,32,0,2.9941062927246094,277,0,0,0,0,1364583885111,0,0,277,0,24,0,0,0,0
279.3999938964844,32,0,2.029970169067383,281,0,0,0,0,1364583887090,0,0,281,0,24,0,0,0,0
284.4800109863281,32,0,2.0713558197021484,286,0,0,0,0,1364583889087,0,0,286,0,25,0,0,0,0
288.54400634765625,32,0,2.034034013748169,290,0,0,0,0,1364583891082,0,0,290,0,25,0,0,0,0
292.6080017089844,32,0,2.0259222984313965,294,0,0,0,0,1364583893083,0,0,294,0,25,0,0,0,0
296.6719970703125,32,0,2.038114309310913,298,0,0,0,0,1364583895076,0,0,298,0,26,0,0,0,0
300.73602294921875,32,0,2.034034013748169,302,0,0,0,0,1364583897075,0,0,302,0,26,0,0,0,0
304.8000183105469,32,0,2.038114309310913,306,0,0,0,0,1364583899071,0,0,306,0,26,0,0,0,0
308.864013671875,32,0,2.0138752460479736,310,0,0,0,0,1364583901071,0,0,310,0,27,0,0,0,0
312.9280090332031,32,0,1.871086597442627,314,0,0,0,0,1364583903154,0,0,314,0,27,0,0,0,0
316.99200439453125,32,0,2.0463242530822754,318,0,0,0,0,1364583905056,0,0,318,0,27,0,0,0,0
321.0559997558594,32,0,2.06085205078125,322,0,0,0,0,1364583907060,0,0,322,0,28,0,0,0,0
326.1360168457031,32,0,3.0088846683502197,327,0,0,0,0,1364583909070,0,0,327,0,28,0,0,0,0
330.20001220703125,32,0,2.062944173812866,331,0,0,0,0,1364583911052,0,0,331,0,29,0,0,0,0
334.2640075683594,32,0,2.0079052448272705,335,0,0,0,0,1364583913063,0,0,335,0,29,0,0,0,0
338.3280029296875,32,0,2.1617021560668945,339,0,0,0,0,1364583915063,0,0,339,0,29,0,0,0,0
342.3919982910156,32,0,2.0320000648498535,343,0,0,0,0,1364583917045,0,0,343,0,30,0,0,0,0
347.4720153808594,32,0,1.9785784482955933,348,0,0,0,0,1364583919062,0,0,348,0,30,0,0,0,0
350.52001953125,32,0,2.048387050628662,351,0,0,0,0,1364583921032,0,0,351,0,30,0,0,0,0
354.5840148925781,32,0,2.0320000648498535,355,0,0,0,0,1364583923035,0,0,355,0,31,0,0,0,0
358.64801025390625,32,0,2.075587511062622,359,0,0,0,0,1364583925026,0,0,359,0,31,0,0,0,0
362.7120056152344,32,0,2.029970169067383,363,0,0,0,0,1364583927026,0,0,363,0,31,0,0,0,0
366.7760009765625,32,0,1.0335707664489746,367,0,0,0,0,1364583929023,0,0,367,0,32,0,0,0,0
366.7760009765625,32,0,0,367,0,0,0,0,1364583931018,0,0,367,0,32,0,0,0,0
366.7760009765625,32,0,0,367,0,0,0,0,1364583933020,0,0,367,0,32,0,0,0,0
366.7760009765625,32,0,0,367,0,0,0,0,1364583935012,0,0,367,0,32,0,0,0,0
366.7760009765625,32,0,0,367,0,0,0,0,1364583937009,0,0,367,0,32,0,0,0,0
377.9520263671875,32,0,11.076313972473145,378,0,0,0,0,1364583939020,0,0,378,0,33,0,0,0,0
383.0320129394531,32,0,3.020812749862671,383,0,0,0,0,1364583941037,0,0,383,0,33,0,0,0,0
387.09600830078125,32,0,2.0279440879821777,387,0,0,0,0,1364583943046,0,0,387,0,33,0,0,0,0
392.176025390625,32,0,3.1983211040496826,392,0,0,0,0,1364583945001,0,0,392,0,34,0,0,0,0
396.2400207519531,32,0,2.036072254180908,396,0,0,0,0,1364583946997,0,0,396,0,34,0,0,0,0
401.32000732421875,32,0,2.034034013748169,401,0,0,0,0,1364583948995,0,0,401,0,34,0,0,0,0
406.4000244140625,32,0,2.075587511062622,406,0,0,0,0,1364583950992,0,0,406,0,35,0,0,0,0
410.4640197753906,32,0,2.036072254180908,410,0,0,0,0,1364583952988,0,0,410,0,35,0,0,0,0
415.54400634765625,32,0,2.067141532897949,415,0,0,0,0,1364583954986,0,0,415,0,36,0,0,0,0
419.6080017089844,32,0,2.0713558197021484,419,0,0,0,0,1364583956983,0,0,419,0,36,0,0,0,0
424.6880187988281,32,0,2.9823875427246094,424,0,0,0,0,1364583959003,0,0,424,0,36,0,0,0,0
428.75201416015625,32,0,2.0463242530822754,428,0,0,0,0,1364583960970,0,0,428,0,37,0,0,0,0
433.8320007324219,32,0,3.011857748031616,433,0,0,0,0,1364583962993,0,0,433,0,37,0,0,0,0
437.8960266113281,32,0,2.034034013748169,437,0,0,0,0,1364583964970,0,0,437,0,38,0,0,0,0
442.97601318359375,32,0,2.9911680221557617,442,0,0,0,0,1364583966987,0,0,442,0,38,0,0,0,0
447.0400085449219,32,0,2.0320000648498535,446,0,0,0,0,1364583968964,0,0,446,0,38,0,0,0,0
452.1200256347656,32,0,3.051051139831543,451,0,0,0,0,1364583970961,0,0,451,0,39,0,0,0,0
456.18402099609375,32,0,2.036072254180908,455,0,0,0,0,1364583972957,0,0,455,0,39,0,0,0,0
461.2640075683594,32,0,3.051051139831543,460,0,0,0,0,1364583974955,0,0,460,0,39,0,0,0,0
465.3280029296875,32,0,2.036072254180908,464,0,0,0,0,1364583976951,0,0,464,0,40,0,0,0,0
470.40802001953125,32,0,3.051051139831543,469,0,0,0,0,1364583978949,0,0,469,0,40,0,0,0,0
474.4720153808594,32,0,2.021890640258789,473,0,0,0,0,1364583980945,0,0,473,0,41,0,0,0,0
478.5360107421875,32,0,2.034034013748169,477,0,0,0,0,1364583982943,0,0,477,0,41,0,0,0,0
483.61602783203125,32,0,2.0118813514709473,482,0,0,0,0,1364583984953,0,0,482,0,41,0,0,0,0
487.6800231933594,32,0,2.034034013748169,486,0,0,0,0,1364583986937,0,0,486,0,42,0,0,0,0
492.760009765625,32,0,2.077709674835205,491,0,0,0,0,1364583988933,0,0,491,0,42,0,0,0,0
496.8240051269531,32,0,2.034034013748169,495,0,0,0,0,1364583990931,0,0,495,0,42,0,0,0,0
501.9040222167969,32,0,2.075587511062622,500,0,0,0,0,1364583992927,0,0,500,0,43,0,0,0,0
505.968017578125,32,0,2.0259222984313965,504,0,0,0,0,1364583994924,0,0,504,0,43,0,0,0,0
511.0480041503906,32,0,3.0480000972747803,509,0,0,0,0,1364583996921,0,0,509,0,44,0,0,0,0
515.1119995117188,32,0,2.034034013748169,513,0,0,0,0,1364583998918,0,0,513,0,44,0,0,0,0
520.1920166015625,32,0,2.034034013748169,518,0,0,0,0,1364584000915,0,0,518,0,44,0,0,0,0
524.2560424804688,32,0,2.0320000648498535,522,0,0,0,0,1364584002913,0,0,522,0,45,0,0,0,0
529.3359985351562,32,0,2.079836368560791,527,0,0,0,0,1364584004908,0,0,527,0,45,0,0,0,0
533.4000244140625,32,0,2.0422110557556152,531,0,0,0,0,1364584006903,0,0,531,0,46,0,0,0,0
538.4800415039062,32,0,2.040160655975342,536,0,0,0,0,1364584008901,0,0,536,0,46,0,0,0,0
543.5599975585938,32,0,2.9823875427246094,541,0,0,0,0,1364584010924,0,0,541,0,46,0,0,0,0
547.6240234375,32,0,2.0320000648498535,545,0,0,0,0,1364584012899,0,0,545,0,47,0,0,0,0
552.7040405273438,32,0,3.051051139831543,550,0,0,0,0,1364584014895,0,0,550,0,47,0,0,0,0
556.7680053710938,32,0,2.036072254180908,554,0,0,0,0,1364584016892,0,0,554,0,48,0,0,0,0
561.8480224609375,32,0,2.038114309310913,559,0,0,0,0,1364584018888,0,0,559,0,48,0,0,0,0
566.9280395507812,32,0,3.051051139831543,564,0,0,0,0,1364584020886,0,0,564,0,48,0,0,0,0
570.9920043945312,32,0,2.034034013748169,568,0,0,0,0,1364584022884,0,0,568,0,49,0,0,0,0
575.0560302734375,32,0,1.0170170068740845,572,0,0,0,0,1364584024881,0,0,572,0,49,0,0,0,0
580.1360473632812,32,0,3.051051139831543,577,0,0,0,0,1364584026877,0,0,577,0,49,0,0,0,0
584.2000122070312,32,0,2.036072254180908,581,0,0,0,0,1364584028874,0,0,581,0,50,0,0,0,0
589.280029296875,32,0,2.034034013748169,586,0,0,0,0,1364584030871,0,0,586,0,50,0,0,0,0
594.3600463867188,32,0,3.051051139831543,591,0,0,0,0,1364584032869,0,0,591,0,51,0,0,0,0
598.4240112304688,32,0,2.036072254180908,595,0,0,0,0,1364584034865,0,0,595,0,51,0,0,0,0
603.5040283203125,32,0,2.02390456199646,600,0,0,0,0,1364584036868,0,0,600,0,51,0,0,0,0
608.5840454101562,32,0,3.051051139831543,605,0,0,0,0,1364584038860,0,0,605,0,52,0,0,0,0
612.6480102539062,32,0,2.034034013748169,609,0,0,0,0,1364584040856,0,0,609,0,52,0,0,0,0
617.72802734375,32,0,2.034034013748169,614,0,0,0,0,1364584042853,0,0,614,0,53,0,0,0,0
622.8080444335938,32,0,2.077709674835205,619,0,0,0,0,1364584044850,0,0,619,0,53,0,0,0,0
626.8720092773438,32,0,2.0259222984313965,623,0,0,0,0,1364584046848,0,0,623,0,53,0,0,0,0
631.9520263671875,32,0,2.0320000648498535,628,0,0,0,0,1364584048844,0,0,628,0,54,0,0,0,0
637.0320434570312,32,0,3.0328359603881836,633,0,0,0,0,1364584050851,0,0,633,0,54,0,0,0,0
641.0960083007812,32,0,2.034034013748169,637,0,0,0,0,1364584052839,0,0,637,0,55,0,0,0,0
646.176025390625,32,0,2.073469400405884,642,0,0,0,0,1364584054836,0,0,642,0,55,0,0,0,0
650.239990234375,32,0,2.038114309310913,646,0,0,0,0,1364584056832,0,0,646,0,55,0,0,0,0
655.3200073242188,32,0,2.036072254180908,651,0,0,0,0,1364584058829,0,0,651,0,56,0,0,0,0
660.4000244140625,32,0,2.073469400405884,656,0,0,0,0,1364584060827,0,0,656,0,56,0,0,0,0
665.4800415039062,32,0,3.0358567237854004,661,0,0,0,0,1364584062829,0,0,661,0,57,0,0,0,0
670.5599975585938,32,0,2.9911680221557617,666,0,0,0,0,1364584064840,0,0,666,0,57,0,0,0,0
674.6240234375,32,0,2.034034013748169,670,0,0,0,0,1364584066817,0,0,670,0,57,0,0,0,0
679.7040405273438,32,0,2.079836368560791,675,0,0,0,0,1364584068813,0,0,675,0,58,0,0,0,0
684.7839965820312,32,0,2.9882354736328125,680,0,0,0,0,1364584070833,0,0,680,0,58,0,0,0,0
688.8480224609375,32,0,2.034034013748169,684,0,0,0,0,1364584072809,0,0,684,0,59,0,0,0,0
693.9280395507812,32,0,2.029970169067383,689,0,0,0,0,1364584074807,0,0,689,0,59,0,0,0,0
697.9920043945312,32,0,3.0541083812713623,693,0,0,0,0,1364584076802,0,0,693,0,59,0,0,0,0
702.0560302734375,32,0,2.036072254180908,697,0,0,0,0,1364584078799,0,0,697,0,60,0,0,0,0
707.1360473632812,32,0,2.073469400405884,702,0,0,0,0,1364584080797,0,0,702,0,60,0,0,0,0
711.2000122070312,32,0,2.036072254180908,706,0,0,0,0,1364584082793,0,0,706,0,60,0,0,0,0
715.2640380859375,32,0,1.0170170068740845,710,0,0,0,0,1364584084790,0,0,710,0,61,0,0,0,0
720.343994140625,32,0,3.0358567237854004,715,0,0,0,0,1364584086786,0,0,715,0,61,0,0,0,0
724.4080200195312,32,0,2.02390456199646,719,0,0,0,0,1364584088789,0,0,719,0,62,0,0,0,0
729.488037109375,32,0,2.034034013748169,724,0,0,0,0,1364584090781,0,0,724,0,62,0,0,0,0
734.5679931640625,32,0,2.034034013748169,729,0,0,0,0,1364584092778,0,0,729,0,62,0,0,0,0
739.6480102539062,32,0,3.051051139831543,734,0,0,0,0,1364584094775,0,0,734,0,63,0,0,0,0
743.7120361328125,32,0,3.051051139831543,738,0,0,0,0,1364584096772,0,0,738,0,63,0,0,0,0
748.7920532226562,32,0,3.051051139831543,743,0,0,0,0,1364584098768,0,0,743,0,64,0,0,0,0
753.8720092773438,32,0,2.9941062927246094,748,0,0,0,0,1364584100785,0,0,748,0,64,0,0,0,0
757.93603515625,32,0,2.036072254180908,752,0,0,0,0,1364584102762,0,0,752,0,64,0,0,0,0
763.0160522460938,32,0,2.075587511062622,757,0,0,0,0,1364584104760,0,0,757,0,65,0,0,0,0
